raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida,ranking_de_popularidad
Rottweiler,working,18886,9.11,3,1118,710,2,2,large,20.35,62,Brightest,<5,>95,"heart, elbow, hip problems","Subaortic stenosis, Elbow dysplasia - OCD of the elbow, Hip dysplasia",mid-price,300,1800,5549,9529,10
Kerry Blue Terrier,terrier,17240,9.4,1,1200,466,1,2,medium,17,47,Above average,15-25,>70,heart problems,Patent ductus arteriosus (PDA),mid-price,900,1500,3762,9832,124
Afghan Hound,hound,24077,11.92,0,890,710,1,1,large,25,66,Lowest,80-100,<25,none,none,mid-price,450,1000,7260,12468,88
Newfoundland,working,19351,9.32,2,1178,710,2,1,large,57,69,Above average,15-25,>70,"hip problems, heart defects","subaortic stenosis, hip dysplasia",mid-price,500,2000,5677,9748,43
German Shepherd,herding,17416,9.73,8,820,466,2,2,large,20.35,61,Brightest,<5,>95,"nerves, pancreas, blood (hemophilia), hip joints","Degenerative myelopathy (nerve disorder), Exocrine pancreatic insufficiency, Hemophilia, Hip dysplasia, Renal cystadenocarcinoma and nodular dermatofibrosis, Pannus - chronic superficial keratitis, Panosteitis, Perianal fistula

",mid-price,400,1495,3895,10177,2
Pekingese,toy,20565,11.56,1,885,466,1,2,small,6,48,Lowest,80-100,<25,knee problems,Patellar luxation,mid-price,200,3800,4627,12091,64
Old English Sheepdog,herding,22611,11.19,1,832,710,1,1,medium,20.35,56,Fair,40-80,>30,hip problems,hip dysplasia,mid-price,500,1000,6816,11704,84
Akita,working,20994,10.16,1,1202,710,2,3,large,20.35,66,Average,25-40,>50,hip problems,hip dysplasia,mid-price,565,1800,6188,10627,47
Rhodesian Ridgeback,hound,16530,9.1,2,995,466,2,2,large,35,65,Average,25-40,>50,"birth defects, hip problems","dermoid sinus, Hip dysplasia",mid-price,750,1300,3642,9518,44
French Bulldog,non-sporting,17266,9,0,1900,466,2,1,medium,12,48,Fair,40-80,>30,none,none,high-end,1300,3500,3602,9414,18
Borzoi,hound,16176,9.08,0,675,466,1,2,large,37,71,Lowest,80-100,<25,none,none,budget,300,1250,3634,9497,102
Bernese Mountain Dog,working,16099,7.56,4,1320,710,2,1,large,20.35,64,Excellent,5-15,>85,"meningitis, elbow + hip problems, complex immune disorder","Meningitis, Elbow dysplasia - OCD of the elbow, Hip dysplasia, Histiocytosis",mid-price,750,2500,4605,7907,34
Bull Terrier,terrier,18490,10.21,2,1085,466,2,2,medium,27,55,Fair,40-80,>30,"heart problems, zinc metabolism disorder","lethal acrodermatitis, Mitral valve dysplasia",mid-price,300,1750,4087,10679,51
Boxer,working,15746,8.81,4,700,466,2,1,medium,20.35,59,Average,25-40,>50,"eye, nerve, heart problems","Corneal dystrophy, Degenerative myelopathy, Dilated cardiomyopathy, Subaortic stenosis",mid-price,300,2500,3526,9215,7
Alaskan Malamute,working,21986,10.67,2,1210,710,1,2,large,36,61,Average,25-40,>50,"hip problems, dwarfism","Hip dysplasia, Osteochondrodysplasia - skeletal dwarfism",mid-price,550,2350,6499,11160,58
Chow Chow,non-sporting,15898,9.01,2,515,466,1,2,medium,20.35,47,Lowest,80-100,<25,"eye, hip problems","Entropion, Hip dysplasia",budget,200,750,3606,9424,68
Bloodhound,hound,13824,6.75,2,608,710,2,2,large,39,64,Lowest,80-100,<25,"fatal stomach bloat, skin problems","Gastric dilatation-volvulus, Hip dysplasia",budget,200,1000,4111,7060,48
Irish Wolfhound,hound,18435,6.94,3,1333,1217,2,1,large,20.35,81,Average,25-40,>50,"heart, liver, hip problems","Dilated cardiomyopathy, Hip dysplasia, Portosystemic shunt",mid-price,800,1550,7246,7259,79
Bullmastiff,working,13936,7.57,2,980,466,2,1,large,52,65,Fair,40-80,>30,"eye, hip problems","Entropion, Hip dysplasia",mid-price,600,1600,3030,7918,40
Mastiff,working,13581,6.5,2,900,701,2,1,large,79,76,Lowest,80-100,<25,"hip, heart problems","Hip dysplasia, Pulmonic stenosis",mid-price,150,1200,3325,6799,28
Great Dane,working,14662,6.96,4,1040,710,2,1,large,20.35,76,Average,25-40,>50,"heart, spinal, hip problems, fatal stomach bloat","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Gastric dilatation-volvulus, Hip dysplasia",mid-price,500,2500,4239,7280,19
Saint Bernard,working,20022,7.78,3,875,1217,1,1,large,70,67,Fair,40-80,>30,"heart, hip disorders, fatal stomach bloat","Dilated cardiomyopathy, Gastric dilatation-volvulus, Hip dysplasia",mid-price,450,1500,8124,8137,49
Bulldog,non-sporting,13479,6.29,5,2680,466,2,2,medium,20,48,Lowest,80-100,<25,"breathing, hip, heart problems, 'dry eye'","brachycephalic syndrome, Hip dysplasia, Keratoconjunctivitis sicca (KCS) - ""dry eye"", Pulmonic stenosis, Ventricular septal defect (VSD)",high-end,1500,5500,2518,6579,6
Airedale Terrier,terrier,19819,11.45,1,733,489,2,1,medium,20.35,58,Above average,15-25,>70,hip problems,hip dysplasia,mid-price,475,1200,4448,11976,55
American English Coonhound,hound,19819,11.5,1,283,489,2,1,large,20.35,62,Average,25-40,>50,no data,no data,budget,100,350,4448,11456,33
American Eskimo Dog,non-sporting,19819,14,0,560,489,2,1,small,20.35,36,Average,25-40,>50,none,none,budget,300,950,4448,11456,116
American Foxhound,hound,19819,11,1,757,489,2,1,medium,20.35,58,Average,25-40,>50,no data,no data,mid-price,250,1000,4448,11456,173
American Staffordshire Terrier,terrier,19819,14,1,1043,489,2,1,medium,20.35,46,Above average,15-25,>70,skin problems,Demodicosis/ Demodectic mange,mid-price,250,1500,4448,11456,72
American Water Spaniel,sporting,19819,14,0,730,489,2,1,medium,16,42,Average,25-40,>50,none,none,mid-price,600,1250,4448,11456,157
Anatolian Shepherd Dog,working,19819,10.75,1,795,489,2,2,large,52,71,Average,25-40,>50,no data,no data,mid-price,362,1395,6548,11244,111
Bearded Collie,herding,19819,12.77,0,795,489,1,1,medium,20.35,53,Above average,15-25,>70,none,none,mid-price,362,1395,5111,13357,112
Beauceron,herding,19819,11,1,967,489,2,1,large,20.35,65,Average,25-40,>50,no data,no data,mid-price,950,1000,4448,11456,144
Belgian Malinois,herding,19819,12,0,1080,489,2,1,large,20.35,61,Excellent,5-15,>85,none,none,mid-price,550,2000,4448,11456,74
Belgian Sheepdog,herding,19819,12,4,795,489,2,1,large,20.35,61,Excellent,5-15,>85,"cataracts + other eye problems, muscular dystrophy","Cataracts, Pannus - chronic superficial keratitis, Progressive retinal atrophy, X-linked muscular dystrophy",mid-price,362,1395,4448,11456,118
Black and Tan Coonhound,hound,19819,11,0,325,489,2,1,large,20.35,64,Average,25-40,>50,none,none,budget,200,500,4448,11456,109
