raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida,ranking_de_popularidad
Siberian Husky,working,22049,12.58,0,650,466,3,1,medium,22,55,Average,25-40,>50,none,none,budget,450,1000,5035,13158,16
Lhasa Apso,non-sporting,22031,13.92,1,350,324,2,1,small,7,27,Fair,40-80,>30,dry eye',"Keratoconjunctivitis sicca (KCS) - ""dry eye""",budget,175,550,3876,14560,62
Affenpinscher,toy,18333,11.42,0,510,324,2,2,small,20.35,26,Above average,15-25,>70,none,none,budget,200,800,3180,11945,139
Dachshund,hound,20113,12.63,2,423,324,2,3,small,11,48,Average,25-40,>50,"skin, spinal problems","acanthosis nigricans, Intervertebral disk disease",budget,125,750,3517,13210,9
Miniature Schnauzer,terrier,20087,11.81,2,715,405,2,2,small,7,33,Excellent,5-15,>85,"liver, sinus problems","Portosystemic shunt, Sick sinus syndrome",mid-price,200,1600,3486,12353,12
Chihuahua,toy,26250,16.5,1,588,324,2,3,small,2,13,Fair,40-80,>30,knee problems,Patellar luxation,budget,200,1500,4594,17258,14
Australian Terrier,terrier,17892,11.05,0,640,324,2,2,small,20.35,27,Above average,15-25,>70,none,none,budget,200,900,3077,11558,121
Whippet,hound,20976,12.87,0,915,324,2,2,medium,20.35,51,Average,25-40,>50,none,none,mid-price,650,1200,3584,13461,57
English Springer Spaniel,sporting,21946,12.54,4,615,466,2,1,medium,20,50,Excellent,5-15,>85,"hip, eye, skin problems; enzyme deficiency","Hip dysplasia, Phosphofructokinase (PFK) deficiency, Retinal dysplasia, seborrhea",budget,450,1500,5019,13116,29
West Highland White Terrier,terrier,20490,12.8,3,538,324,2,1,small,20.35,27,Average,25-40,>50,"lion jaw', 'dry eye', skin problems","Craniomandibular osteopathy (""lion jaw""), Keratoconjunctivitis sicca (KCS) - ""dry eye"", seborrhea",budget,275,750,3564,13388,35
Bedlington Terrier,terrier,22107,13.51,2,1058,324,2,2,small,9,48,Average,25-40,>50,"liver, eye problems","Chronic hepatitis, Retinal dysplasia",mid-price,250,1800,3762,14131,134
Poodle,non-sporting,21237,11.95,2,900,466,2,2,medium,20.35,41,Brightest,<5,>95,"fatal stomach bloat, skin disorder","Gastric dilatation-volvulus (serious stomach disorder), sebaceous adenitis (skin disorder)",mid-price,500,1500,4783,12499,8
Bichon Frise,non-sporting,19735,12.21,0,693,324,1,1,small,20.35,27,Average,25-40,>50,none,none,budget,250,1500,3400,12771,39
German Shorthaired Pointer,sporting,25842,11.46,1,545,971,2,1,large,28,61,Excellent,5-15,>85,hip problems,hip dysplasia,budget,200,850,8117,11987,15
Pointer,sporting,24445,12.42,1,294,710,2,1,large,27,65,Average,25-40,>50,hip problems,hip dysplasia,budget,50,500,7565,12991,115
Tibetan Spaniel,non-sporting,25549,14.42,0,1050,466,2,1,small,5,25,Average,25-40,>50,none,none,mid-price,500,2000,5772,15083,114
Labrador Retriever,sporting,21299,12.04,3,810,466,2,1,medium,31,58,Brightest,<5,>95,"elbows, hips, eyes","elbow dysplasia, hip dysplasia, retinal dysplasia",mid-price,299,1500,4819,12593,1
Maltese,toy,19084,12.25,1,650,270,1,3,small,2,23,Fair,40-80,>30,heart problems,Patent ductus arteriosus (PDA),budget,300,1000,2410,12813,23
Pomeranian,toy,15792,9.67,1,670,324,2,2,small,2,48,Excellent,5-15,>85,heart problems,Patent ductus arteriosus (PDA),budget,200,1500,2693,10114,17
Shih Tzu,toy,21152,13.2,1,583,324,1,1,small,6,25,Lowest,80-100,<25,eye problems,"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",budget,275,1200,3675,13806,11
Australian Shepherd,herding,21458,12.28,2,565,466,2,2,medium,20.35,52,Average,25-40,>50,"deafness, hip problems","deafness, hip dysplasia",budget,250,1000,4915,12844,24
Yorkshire Terrier,toy,20701,12.6,4,1057,324,1,3,small,2,48,Above average,15-25,>70,"knee, liver, trachea, eye disorders","Patellar luxation, Portosystemic shunt, tracheal collapse, Retinal dysplasia",mid-price,275,2800,3508,13179,5
