raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,calificacion_popular,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida
Golden Retriever,sporting,21447,12.04,4,958,466,2,1,4.0,medium,27.0,58,Brightest,<5,>95,"elbows, hips, eyes, heart ","elbow dysplasia, hip dysplasia, retinal dysplasia, subaortic stenosis",mid-price,325,2500,"4,819","12,593"
Samoyed,working,25352,12.44,1,1162,710,2,1,69.0,medium,20.35,54,Above average,15-25,>70,hip problems,hip dysplasia,mid-price,795,1400,"7,577","13,012"
Beagle,hound,19468,12.3,1,288,324,1,1,3.0,small,20.35,36,Lowest,80-100,<25,heart problems,Pulmonic stenosis,budget,100,600,"3,425","12,865"
Chesapeake Bay Retriever,sporting,16697,9.48,1,522,466,2,1,46.0,large,31.0,60,Above average,15-25,>70,hip problems,hip dysplasia,budget,175,795,"3,794","9,916"
Tibetan Terrier,non-sporting,20336,12.31,0,1140,324,2,2,86.0,small,11.0,39,Fair,40-80,>30,none,none,mid-price,450,1600,"3,428","12,876"
Gordon Setter,sporting,19605,11.1,1,700,466,2,1,94.0,large,28.0,64,Above average,15-25,>70,hip problems,hip dysplasia,mid-price,500,100,"4,443","11,610"
English Setter,sporting,20312,11.57,2,615,466,2,1,87.0,large,20.35,62,Above average,15-25,>70,"deafness, hip problems","deafness, hip dysplasia",budget,250,1000,"4,631","12,102"
Pug,toy,18527,11.0,1,469,405,2,1,26.0,medium,7.0,41,Fair,40-80,>30,dry eye',"Keratoconjunctivitis sicca (KCS) - ""dry eye""",budget,250,699,"3,246","11,505"
Briard,herding,19673,11.17,1,650,466,1,1,125.0,large,20.35,62,Above average,15-25,>70,hip problems,hip dysplasia,budget,500,800,"4,471","11,683"
Norfolk Terrier,terrier,24308,13.07,0,2083,466,2,2,120.0,small,5.0,24,Fair,40-80,>30,none,none,high-end,250,2500,"5,231","13,671"
Flat-Coated Retriever,sporting,16000,9.02,0,600,466,1,1,90.0,medium,20.35,59,Excellent,5-15,>85,none,none,budget,300,1200,"3,610","9,434"
Boston Terrier,non-sporting,17741,10.92,1,690,324,2,1,22.0,medium,20.35,no data,Average,25-40,>50,breathing problems,brachycephalic syndrome,budget,400,1050,"3,041","11,422"
Doberman Pinscher,working,18397,10.33,4,790,466,2,2,13.0,large,20.35,66,Brightest,<5,>95,"heart, spine, blood clotting disorders","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Intervertebral disk disease, von Willebrand's disease",mid-price,300,1200,"4,135","10,805"
English Toy Spaniel,toy,17521,10.1,0,925,405,2,2,129.0,small,5.0,25,Average,25-40,>50,none,none,mid-price,150,1500,"2,981","10,564"
Belgian Tervuren,herding,19132,10.6,2,1070,466,2,1,108.0,large,20.35,61,Excellent,5-15,>85,"epilepsy, eye problems","Idiopathic epilepsy, Pannus - chronic superficial keratitis",mid-price,850,1200,"4,243","11,087"
Cavalier King Charles Spaniel,toy,18639,11.29,2,1017,324,2,1,21.0,small,7.0,32,Average,25-40,>50,"heart, spinal problems","Mitral valve dysplasia, Chiari-like malformation (CM) and syringomyelia (SM)",mid-price,100,1800,"3,144","11,809"
Dalmatian,non-sporting,19886,11.27,2,695,466,2,1,73.0,medium,20.35,53,Above average,15-25,>70,"deafness, urinary stones","Deafness, Urolithiasis (stones)",budget,350,1000,"4,511","11,788"
