raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,calificacion_popular,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida
Manchester Terrier,terrier,19819,9.32,0,720,489,2,1,51.0,small,8.0,no data,Above average,15-25,>70,none,none,mid-price,140,1500,no data,"9,748"
Miniature Bull Terrier,terrier,19819,6.6,0,1740,489,2,1,51.0,small,20.35,30,no data,no data,no data,none,none,high-end,999,2800,no data,"6,903"
Miniature Pinscher,toy,19819,10.95,0,535,489,2,1,51.0,small,20.35,29,Above average,15-25,>70,none,none,budget,300,900,no data,no data
Neapolitan Mastiff,working,19819,10.95,1,1760,489,2,1,51.0,large,59.0,70,no data,no data,no data,hip problems,hip dysplasia,high-end,850,3500,no data,no data
Norwegian Buhund,herding,19819,12.67,1,795,489,2,1,51.0,medium,15.0,44,no data,no data,no data,no data,no data,no data,no data,no data,no data,"13,252"
Norwegian Elkhound,hound,19819,10.95,1,448,489,2,1,51.0,medium,23.0,51,Above average,15-25,>70,hip problems,hip dysplasia,budget,350,500,no data,no data
Norwegian Lundehund,non-sporting,19819,10.95,1,795,489,2,1,51.0,small,20.35,34,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Norwich Terrier,terrier,19819,10.95,0,1245,489,2,2,51.0,small,5.0,25,Above average,15-25,>70,none,none,mid-price,750,2000,no data,no data
Nova Scotia Duck Tolling Retriever,sporting,12653,6.5,1,1500,489,2,1,51.0,medium,20.35,48,no data,no data,no data,hip problems,hip dysplasia,high-end,1500,1500,"2,602","6,799"
Otterhound,hound,19819,10.8,1,795,489,2,1,51.0,large,44.0,65,Average,25-40,>50,hip problems,hip dysplasia,no data,no data,no data,"4,323","11,296"
Parson Russell Terrier,terrier,19819,10.95,0,528,489,2,2,51.0,small,7.0,34,no data,no data,no data,none,none,budget,150,850,no data,no data
Petit Basset Griffon Vendeen,hound,19819,12.7,0,400,489,2,1,51.0,small,20.35,36,Fair,40-80,>30,none,none,budget,250,700,no data,"13,284"
Plott,hound,19819,10.95,0,795,489,2,1,51.0,medium,23.0,57,no data,no data,no data,none,none,no data,no data,no data,no data,no data
Polish Lowland Sheepdog,herding,19819,10.8,1,795,489,2,2,51.0,medium,20.35,47,no data,no data,no data,no data,no data,no data,no data,no data,"4,323","11,296"
Portuguese Water Dog,working,19819,11.42,0,795,489,2,1,51.0,medium,22.0,51,no data,no data,no data,none,none,no data,no data,no data,no data,"11,945"
Puli,herding,19819,10.95,0,913,489,2,1,51.0,medium,20.35,42,Above average,15-25,>70,none,none,mid-price,700,1000,no data,no data
Pyrenean Shepherd,herding,19819,10.95,1,795,489,2,1,51.0,medium,20.35,46,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Redbone Coonhound,hound,19819,10.95,0,425,489,2,1,51.0,large,20.35,61,no data,no data,no data,none,none,budget,300,700,no data,no data
Schipperke,non-sporting,19819,13.0,4,658,489,2,1,51.0,small,20.35,29,Excellent,5-15,>85,"hair loss, diabetes, skin problems","colour dilution alopecia, Diabetes mellitus, Follicular dysplasias, Pemphigus",budget,300,975,no data,"13,597"
Scottish Deerhound,hound,19819,8.7,2,795,489,2,1,51.0,large,42.0,no data,Average,25-40,>50,"heart problems, fatal stomach bloat","Dilated cardiomyopathy, Gastric dilatation-volvulus",no data,no data,no data,no data,"9,100"
Sealyham Terrier,terrier,19819,12.25,1,795,489,2,1,51.0,small,11.0,27,Fair,40-80,>30,eye problems,Retinal dysplasia,no data,no data,no data,no data,"12,813"
Shiba Inu,non-sporting,19819,7.0,1,890,489,2,1,51.0,small,9.0,38,no data,no data,no data,hip problems,hip dysplasia,mid-price,650,1400,no data,"7,322"
Silky Terrier,toy,19819,14.25,0,448,489,2,1,51.0,small,5.0,24,Above average,15-25,>70,none,none,budget,250,500,no data,"14,905"
Skye Terrier,terrier,19819,11.0,0,550,489,2,1,51.0,small,18.0,25,Fair,40-80,>30,none,none,budget,500,600,no data,"11,505"
Smooth Fox Terrier,terrier,19819,13.17,0,575,489,2,1,51.0,small,8.0,38,Average,25-40,>50,none,none,budget,450,750,no data,"13,775"
Soft-Coated Wheaten Terrier,terrier,19819,12.16,0,832,489,2,1,51.0,medium,16.0,46,Average,25-40,>50,none,none,mid-price,675,1000,no data,"12,719"
Spinone Italiano,sporting,19819,9.0,1,1725,489,2,1,51.0,large,20.35,62,no data,no data,no data,no data,no data,high-end,1100,2000,no data,"9,414"
Standard Schnauzer,working,19819,10.95,1,855,489,2,1,51.0,medium,20.35,47,Excellent,5-15,>85,hip problems,hip dysplasia,mid-price,50,1500,no data,no data
Sussex Spaniel,sporting,19819,11.17,0,795,489,2,3,51.0,small,18.0,36,no data,no data,no data,none,none,no data,no data,no data,"4,471","11,683"
Swedish Vallhund,herding,22839,14.17,1,772,489,2,1,51.0,small,20.35,32,no data,no data,no data,no data,no data,mid-price,550,1000,"3,946","14,821"
Tibetan Mastiff,working,23747,11.92,1,3460,489,2,1,51.0,large,20.35,64,no data,no data,no data,no data,no data,high-end,800,6500,"4,771","12,468"
Toy Fox Terrier,toy,19819,10.95,1,460,489,2,1,51.0,small,20.35,25,no data,no data,no data,no data,no data,budget,200,650,no data,no data
Vizsla,sporting,19819,12.5,0,935,489,2,1,51.0,medium,20.35,57,Excellent,5-15,>85,none,none,mid-price,800,1200,no data,"13,074"
Weimaraner,sporting,19819,10.95,1,562,489,2,1,51.0,large,20.35,64,Excellent,5-15,>85,hip problems,hip dysplasia,budget,300,900,no data,no data
Welsh Terrier,terrier,19819,10.95,0,843,489,2,1,51.0,small,9.0,38,Average,25-40,>50,none,none,mid-price,575,1250,no data,no data
Wire Fox Terrier,terrier,19819,13.17,0,668,489,2,1,51.0,small,8.0,38,Average,25-40,>50,none,none,budget,175,1600,no data,"13,775"
Wirehaired Pointing Griffon,sporting,19819,8.8,0,755,489,2,1,51.0,medium,20.35,56,Average,25-40,>50,none,none,mid-price,750,800,no data,"9,204"
Xoloitzcuintli,non-sporting,19819,10.95,1,717,489,2,1,51.0,medium,20.35,42,no data,no data,no data,no data,no data,mid-price,300,"2,000",no data,no data
